id,name,kind,unit,location,subgraph_id
10199,Vaccines and other biological medical products; at manufacturer,activity,USD,United States,1
10200,Leather; at manufacturer,activity,USD,United States,1
10201,"Sand, gravel, clay, phosphate, other nonmetallic minerals; at mine",activity,USD,United States,1
10202,"Gasoline, fuels, and by-products of petroleum refining; at manufacturer",activity,USD,United States,1
10203,Finished and coated fabric; at manufacturer,activity,USD,United States,1
10204,Ink and ink cartridges; at manufacturer,activity,USD,United States,1
10205,Used and secondhand goods,activity,USD,United States,1
10206,"Investment advice, portfolio management, and other financial advising services",activity,USD,United States,1
10207,Federal government enterprises,activity,USD,United States,1
10208,Surgical and medical instruments; at manufacturer,activity,USD,United States,1
10209,Physicians,activity,USD,United States,1
10210,"Lids, jars, bottle caps, other metal closures and crowns; at manufacturer",activity,USD,United States,1
10211,Power tools; at manufacturer,activity,USD,United States,1
10212,Vehicles and parts sales,activity,USD,United States,1
10213,Audio and video equipment; at manufacturer,activity,USD,United States,1
10214,Dry-cleaning and laundry,activity,USD,United States,1
10215,Air transport,activity,USD,United States,1
10216,Ambulances,activity,USD,United States,1
10217,Commercial machinery repair,activity,USD,United States,1
10218,"Refined vegetable, olive, and seed oils; at manufacturer",activity,USD,United States,1
10219,Nonferrous metal casts; at manufacturer,activity,USD,United States,1
10220,Plastic bottles; at manufacturer,activity,USD,United States,1
10221,Data processing and hosting,activity,USD,United States,1
10222,Animal farms and aquaculture ponds (except cattle and poultry),activity,USD,United States,1
10223,Couriers and messengers,activity,USD,United States,1
10224,Federal government (nondefense),activity,USD,United States,1
10225,Photographers,activity,USD,United States,1
10226,Fabric; at manufacturer,activity,USD,United States,1
10227,Warehousing,activity,USD,United States,1
10228,Dimensional stone; at mine,activity,USD,United States,1
10229,Semiconductors; at manufacturer,activity,USD,United States,1
10230,"Commercial structures, including farm structures",activity,USD,United States,1
10231,"Wooden windows, door, and flooring; at manufacturer",activity,USD,United States,1
10232,"Home furniture - Cabinets and non-wood, nonupholstered; at manufacturer",activity,USD,United States,1
10233,Fluid milk and butter; at manufacturer,activity,USD,United States,1
10234,Carpets and rugs; at manufacturer,activity,USD,United States,1
10235,Automobiles; at manufacturer,activity,USD,United States,1
10236,Amusement parks and arcades,activity,USD,United States,1
10237,Institutional furniture; at manufacturer,activity,USD,United States,1
10238,Paper bags and coated paper; at manufacturer,activity,USD,United States,1
10239,"Vending, commercial laundry, and other commercial and service industry machinery; at manufacturer",activity,USD,United States,1
10240,Vehicle engines and engine parts; at manufacturer,activity,USD,United States,1
10241,Specialty transformers; at manufacturer,activity,USD,United States,1
10242,Wholesale trade,activity,USD,United States,1
10243,Aluminum; at manufacturer,activity,USD,United States,1
10244,Dental laboratories; at manufacturer,activity,USD,United States,1
10245,Office supplies (not paper); at manufacturer,activity,USD,United States,1
10246,Gambling establishments (except casino hotels),activity,USD,United States,1
10247,Cut stone and stone products; at manufacturer,activity,USD,United States,1
10248,Guided missiles and space vehicles; at manufacturer,activity,USD,United States,1
10249,"Air conditioning, refrigeration, and warm air heating equipment; at manufacturer",activity,USD,United States,1
10250,Construction machinery; at manufacturer,activity,USD,United States,1
10251,Other textiles; at manufacturer,activity,USD,United States,1
10252,Other transportation equipment; at manufacturer,activity,USD,United States,1
10253,Pesticides; at manufacturer,activity,USD,United States,1
10254,"Soft drinks, bottled water, and ice; at manufacturer",activity,USD,United States,1
10255,Corn products; at manufacturer,activity,USD,United States,1
10256,"Grantmaking, giving, and social advocacy organizations",activity,USD,United States,1
10257,"Hydraulic pumps, motors, cylinders and actuators; at manufacturer",activity,USD,United States,1
10258,Poultry farms,activity,USD,United States,1
10259,General merchandise stores,activity,USD,United States,1
10260,Packaging machinery; at manufacturer,activity,USD,United States,1
10261,Machine shops; at manufacturer,activity,USD,United States,1
10262,"Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods; at manufacturer",activity,USD,United States,1
10263,Fluid meters and counting devices; at manufacturer,activity,USD,United States,1
10264,Mineral wool; at manufacturer,activity,USD,United States,1
10265,Railroad rolling stock; at manufacturer,activity,USD,United States,1
10266,Ready-mix concrete; at manufacturer,activity,USD,United States,1
10267,Analytical laboratory instruments; at manufacturer,activity,USD,United States,1
10268,Vegetable oils and by-products; at manufacturer,activity,USD,United States,1
10269,Agriculture and forestry support,activity,USD,United States,1
10270,Other plastic products; at manufacturer,activity,USD,United States,1
10271,Aluminum products; at manufacturer,activity,USD,United States,1
10272,Mining and oil/gas field machinery; at manufacturer,activity,USD,United States,1
10273,Healthcare practitioners (except physicians and dentists),activity,USD,United States,1
10274,Wireless communications; at manufacturer,activity,USD,United States,1
10275,"Funds, trusts, and financial vehicles",activity,USD,United States,1
10276,Optical instruments and lenses; at manufacturer,activity,USD,United States,1
10277,"Colleges, universities, junior colleges, and professional schools",activity,USD,United States,1
10278,Distilleries and spirits; at manufacturer,activity,USD,United States,1
10279,Fabricated pipe and pipe fittings; at manufacturer,activity,USD,United States,1
10280,Other educational services,activity,USD,United States,1
10281,"Plastic pipe, fittings, and sausage casings; at manufacturer",activity,USD,United States,1
10282,Multifamily homes,activity,USD,United States,1
10283,Facilities support,activity,USD,United States,1
10284,Household goods repair,activity,USD,United States,1
10285,Navigation instruments; at manufacturer,activity,USD,United States,1
10286,Securities and commodities brokerage and exchanges,activity,USD,United States,1
10287,Custom metal rolls; at manufacturer,activity,USD,United States,1
10288,Rubber and plastic belts and hoses; at manufacturer,activity,USD,United States,1
10289,Cast iron and steel; at manufacturer,activity,USD,United States,1
10290,Clay and ceramic products; at manufacturer,activity,USD,United States,1
10291,"Fresh wheat, corn, rice, and other grains; at farm",activity,USD,United States,1
10292,Communications equipment; at manufacturer,activity,USD,United States,1
10293,Asphalt shingles; at manufacturer,activity,USD,United States,1
10294,Computer systems design,activity,USD,United States,1
10295,Computers; at manufacturer,activity,USD,United States,1
10296,Heavy gauge metal tanks; at manufacturer,activity,USD,United States,1
10297,Buildings and dwellings services,activity,USD,United States,1
10298,Travel arrangement and reservation,activity,USD,United States,1
10299,Religious organizations,activity,USD,United States,1
10300,Other nonmetallic mineral products; at manufacturer,activity,USD,United States,1
10301,Truck transport,activity,USD,United States,1
10302,Relay and industrial controls; at manufacturer,activity,USD,United States,1
10303,Manufacturing buildings,activity,USD,United States,1
10304,"Motor vehicle steering, suspension components (except spring), and brake systems; at manufacturer",activity,USD,United States,1
10305,Other real estate,activity,USD,United States,1
10306,Asphalt pavement; at manufacturer,activity,USD,United States,1
10307,Other rubber products; at manufacturer,activity,USD,United States,1
10308,Vehicle bodies; at manufacturer,activity,USD,United States,1
10309,"Cutting and machine tool accessory, rolling mill, and other metalworking machines; at manufacturer",activity,USD,United States,1
10310,Stationery; at manufacturer,activity,USD,United States,1
10311,Transmission and power train parts; at manufacturer,activity,USD,United States,1
10312,Single-family homes,activity,USD,United States,1
10313,Ground or treated minerals and earth; at manufacturer,activity,USD,United States,1
10314,Breweries and beer; at manufacturer,activity,USD,United States,1
10315,Laminated plastic plates and shapes; at manufacturer,activity,USD,United States,1
10316,"Cookies, crackers, pastas, and tortillas; at manufacturer",activity,USD,United States,1
10317,"Motorcycle, bicycle, and parts; at manufacturer",activity,USD,United States,1
10318,Packaged meat (except poultry); at manufacturer,activity,USD,United States,1
10319,Telecommunications,activity,USD,United States,1
10320,Legal services,activity,USD,United States,1
10321,Vehicle seating and interior trim (upholstery); at manufacturer,activity,USD,United States,1
10322,Hotels and campgrounds,activity,USD,United States,1
10323,Medicinal and botanical ingredients; at manufacturer,activity,USD,United States,1
10324,Military armored vehicles and tanks; at manufacturer,activity,USD,United States,1
10325,"Architectural, engineering, and related services",activity,USD,United States,1
10326,"Pickup trucks, vans, and SUVs; at manufacturer",activity,USD,United States,1
10327,Home laundry machines; at manufacturer,activity,USD,United States,1
10328,Motor homes; at manufacturer,activity,USD,United States,1
10329,Telephones; at manufacturer,activity,USD,United States,1
10330,"Pet care, photofinishing, parking and other sundry services",activity,USD,United States,1
10331,"Major home appliances (except ovens, stoves, refrigerators and laundry machines); at manufacturer",activity,USD,United States,1
10332,Fruit and vegetable preservation; at manufacturer,activity,USD,United States,1
10333,Cutlery and handtools; at manufacturer,activity,USD,United States,1
10334,Hospitals,activity,USD,United States,1
10335,Food and beverage stores,activity,USD,United States,1
10336,Vehicle rental and leasing,activity,USD,United States,1
10337,Springs and wires; at manufacturer,activity,USD,United States,1
10338,Other miscellaneous electrical equipment and components; at manufacturer,activity,USD,United States,1
10339,"External hard drives, CDs, other storage media; at manufacturer",activity,USD,United States,1
10340,Cardboard containers; at manufacturer,activity,USD,United States,1
10341,Polystyrene foam products; at manufacturer,activity,USD,United States,1
10342,"Residential mental retardation, mental health, substance abuse and other facilities",activity,USD,United States,1
10343,Industrial process furnaces and ovens; at manufacturer,activity,USD,United States,1
10344,Commercial equipment rental,activity,USD,United States,1
10345,Heating equipment other than warm air furnaces; at manufacturer,activity,USD,United States,1
10346,Signs; at manufacturer,activity,USD,United States,1
10347,Other primary nonferrous metals; at manufacturer,activity,USD,United States,1
10348,"Golf courses, marinas, ski resorts, fitness and other rec centers and industries",activity,USD,United States,1
10349,Utilities buildings and infrastructure,activity,USD,United States,1
10350,"Museums, historical sites, zoos, and parks",activity,USD,United States,1
10351,Ophthalmic goods; at manufacturer,activity,USD,United States,1
10352,Glass and glass products; at manufacturer,activity,USD,United States,1
10353,Movies and film,activity,USD,United States,1
10354,Housing,activity,USD,United States,1
10355,Computer terminals and other computer peripheral equipment; at manufacturer,activity,USD,United States,1
10356,Electromedical appartuses; at manufacturer,activity,USD,United States,1
10357,Cement; at manufacturer,activity,USD,United States,1
10358,Dentists,activity,USD,United States,1
10359,Adhesives; at manufacturer,activity,USD,United States,1
10360,"Watches, clocks, and other measuring and controlling devices; at manufacturer",activity,USD,United States,1
10361,Seasonings and dressings; at manufacturer,activity,USD,United States,1
10362,Nondepository credit intermediation and related activities,activity,USD,United States,1
10363,Waste management and remediation,activity,USD,United States,1
10364,Other basic organic chemicals; at manufacturer,activity,USD,United States,1
10365,Travel trailer and campers; at manufacturer,activity,USD,United States,1
10366,Magazines and journals; at publisher,activity,USD,United States,1
10367,Other animal food; at manufacturer,activity,USD,United States,1
10368,Performances,activity,USD,United States,1
10369,State and local government enterprises,activity,USD,United States,1
10370,Advertising and public relations,activity,USD,United States,1
10371,Photography and photocopying equipment; at manufacturer,activity,USD,United States,1
10372,Newspapers; at publisher,activity,USD,United States,1
10373,"Other computer related services, including facilities management",activity,USD,United States,1
10374,"Primary iron, steel, and ferroalloy products; at manufacturer",activity,USD,United States,1
10375,Company and enterprise management,activity,USD,United States,1
10376,Seafood; at manufacturer,activity,USD,United States,1
10377,Wood pulp; at manufacturer,activity,USD,United States,1
10378,"All other forging, stamping, and sintering; at manufacturer",activity,USD,United States,1
10379,Synthetic dyes and pigments; at manufacturer,activity,USD,United States,1
10380,Ships and ship repair; at manufacturer,activity,USD,United States,1
10381,Cattle ranches and feedlots,activity,USD,United States,1
10382,Management consulting,activity,USD,United States,1
10383,Rail transport,activity,USD,United States,1
10384,Motors and generators; at manufacturer,activity,USD,United States,1
10385,"Books, newspapers, magazines, and other print media; at manufacturer",activity,USD,United States,1
10386,Other residential structures,activity,USD,United States,1
10387,Secondary copper products; at manufacturer,activity,USD,United States,1
10388,Automatic controls for HVAC and refrigeration equipment; at manufacturer,activity,USD,United States,1
10389,Asphalt pavement; at manufacturer,product,,United States,1
10390,Motor homes; at manufacturer,product,,United States,1
10391,Home healthcare,product,,United States,1
10392,Software,product,,United States,1
10393,Other residential structures,product,,United States,1
10394,Petrochemicals; at manufacturer,product,,United States,1
10395,Signal testing instruments; at manufacturer,product,,United States,1
10396,Irradiation apparatuses; at manufacturer,product,,United States,1
10397,Abrasive products; at manufacturer,product,,United States,1
10398,Ships and ship repair; at manufacturer,product,,United States,1
10399,Magazines and journals; at publisher,product,,United States,1
10400,Seasonings and dressings; at manufacturer,product,,United States,1
10401,Single-family homes,product,,United States,1
10402,other miscellaneous electrical equipment and components; at manufacturer,product,,United States,1
10403,Fluid meters and counting devices; at manufacturer,product,,United States,1
10404,Fabric; at manufacturer,product,,United States,1
10405,Other textiles; at manufacturer,product,,United States,1
10406,"Watches, clocks, and other measuring and controlling devices; at manufacturer",product,,United States,1
10407,Federal government (defense),product,,United States,1
10408,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops; at farm",product,,United States,1
10409,Scenic and sightseeing transportation and support activities for transportation,product,,United States,1
10410,Nursing and community care facilities,product,,United States,1
10411,Vegetable oils and by-products; at manufacturer,product,,United States,1
10412,"Veneer, plywood, and engineered wood; at manufacturer",product,,United States,1
10413,Scientific research and development,product,,United States,1
10414,Analytical laboratory instruments; at manufacturer,product,,United States,1
10415,Couriers and messengers,product,,United States,1
10416,Air purification and ventilation equipment; at manufacturer,product,,United States,1
10417,Full-service restaurants,product,,United States,1
10418,Housing,product,,United States,1
10419,Sound recording,product,,United States,1
10420,Office furniture and custom architectural woodwork and millwork; at manufacturer,product,,United States,1
10421,"Refined vegetable, olive, and seed oils; at manufacturer",product,,United States,1
10422,Primary batteries; at manufacturer,product,,United States,1
10423,Pumps and pumping equipment; at manufacturer,product,,United States,1
10424,Ready-mix concrete; at manufacturer,product,,United States,1
10425,Buildings and dwellings services,product,,United States,1
10426,Environmental and other technical consulting services,product,,United States,1
10427,Movies and film,product,,United States,1
10428,Plywood and veneer; at manufacturer,product,,United States,1
10429,Schools and vocational buildings,product,,United States,1
10430,Household employees,product,,United States,1
10431,Vehicle electrical and electronic equipment; at manufacturer,product,,United States,1
10432,Agriculture and forestry support,product,,United States,1
10433,"All other forging, stamping, and sintering; at manufacturer",product,,United States,1
10434,Religious organizations,product,,United States,1
10435,Transmission and power train parts; at manufacturer,product,,United States,1
10436,Vehicle rental and leasing,product,,United States,1
10437,State and local government enterprises,product,,United States,1
10438,Relay and industrial controls; at manufacturer,product,,United States,1
10439,"Pharmaceutical products (pills, powders, solutions, etc.); at manufacturer",product,,United States,1
10440,Cardboard; at manufacturer,product,,United States,1
10441,Soap and cleaning compounds; at manufacturer,product,,United States,1
10442,Cutlery and handtools; at manufacturer,product,,United States,1
10443,Power tools; at manufacturer,product,,United States,1
10444,Navigation instruments; at manufacturer,product,,United States,1
10445,Springs and wires; at manufacturer,product,,United States,1
10446,Mineral wool; at manufacturer,product,,United States,1
10447,Legal services,product,,United States,1
10448,Audio and video equipment; at manufacturer,product,,United States,1
10449,Insurance carriers,product,,United States,1
10450,Breweries and beer; at manufacturer,product,,United States,1
10451,Laminated plastic plates and shapes; at manufacturer,product,,United States,1
10452,Synthetic dyes and pigments; at manufacturer,product,,United States,1
10453,Cast iron and steel; at manufacturer,product,,United States,1
10454,Postal service,product,,United States,1
10455,Truck transport,product,,United States,1
10456,Communication and energy wire and cable; at manufacturer,product,,United States,1
10457,Computer systems design,product,,United States,1
10458,"Fresh vegetables, melons, and potatoes; at farm",product,,United States,1
10459,Frozen food; at manufacturer,product,,United States,1
10460,Other transportation equipment; at manufacturer,product,,United States,1
10461,Truck trailers; at manufacturer,product,,United States,1
10462,"External hard drives, CDs, other storage media; at manufacturer",product,,United States,1
10463,Aluminum; at manufacturer,product,,United States,1
10464,Household goods repair,product,,United States,1
10465,Printing support; at manufacturer,product,,United States,1
10466,Plastics and rubber industry machinery; at manufacturer,product,,United States,1
10467,Packaging machinery; at manufacturer,product,,United States,1
10468,Office administration,product,,United States,1
10469,Facilities support,product,,United States,1
10470,Shelving and lockers; at manufacturer,product,,United States,1
10471,"Investment advice, portfolio management, and other financial advising services",product,,United States,1
10472,"Cutting and machine tool accessory, rolling mill, and other metalworking machines; at manufacturer",product,,United States,1
